Company Name,Company Business,Market Value,Annual Revenue,Operating Income,Net Income,Assets,Liabilities
ARMSTRONG WORLD INDUSTRIES,Industries,3560000000,0,0,0,0,0
J2 GLOBAL,Technology,4372000000,0,0,0,0,0
PACWEST BANCORP,Financial Services,3009000000,0,0,0,0,0
H&R BLOCK,Consumer Cyclical,2909000000,0,0,0,0,0
BOSTON BEER COMPANY,Consumer Defensive,12173000000,1736000000,248600000,191900000,0,0
PERSHING SQUARE HOLDINGS,Financial Services,6776000000,0,0,0,0,0
VALLEY NATIONAL BANCORP,Financial Services,3938000000,0,0,0,0,0
HEALTHCARE REALTY TRUST,Real Estate,4027000000,0,0,0,0,0
BRINK'S COMPANY,Industries,3559000000,0,0,0,0,0
NCR CORPORATION,Technology,4843000000,0,0,0,0,0
AXON ENTERPRISE,Industries,7787000000,0,0,0,0,0
CYBERARK SOFTWARE,Technology,6259000000,0,0,0,0,0
FLOWERS FOODS,Consumer Defensive,4789000000,0,0,0,0,0
PURE STORAGE,Technology,6064000000,0,0,0,0,0
VIASAT,Technology,2225000000,0,0,0,0,0
CUSHMAN & WAKEFIELD,Real Estate,3287000000,0,0,0,0,0
LHC GROUP,Healthcare,6739000000,2063000000,178100000,111500000,0,0
ANGI HOMESERVICES,Communication Services,6595000000,0,0,0,0,0
LANDSTAR SYSTEM,Industries,5169000000,0,0,0,0,0
ACI WORLDWIDE,Technology,4487000000,0,0,0,0,0
COLFAX CORPORATION,Industries,4530000000,0,0,0,0,0
IMMUNOMEDICS,Healthcare,21000000000,0,0,-89250000,0,0
KBR,Industries,4408000000,0,0,0,0,0
CIT GROUP,Financial Services,3537000000,0,0,0,0,0
AUTONATION,Consumer Cyclical,6132000000,0,0,0,0,0
ENABLE MIDSTREAM PARTNERS LP,Energy,2291000000,0,0,0,0,0
NEW JERSEY RESOURCES CORPORATION,Utilities,3418000000,0,0,0,0,0
MSC INDUSTRIAL DIRECT,Industries,4710000000,0,0,0,0,0
PERSPECTA,Technology,3876000000,0,0,0,0,0
RAYONIER,Real Estate,4011000000,0,0,0,0,0
GRUBHUB,Online Food Delivery,6889000000,1819000000,-1489000000,-155800000,0,0
SABRA HEALTH CARE REIT,Real Estate,3594000000,0,0,0,0,0
CABOT MICROELECTRONICS CORPORATION,Technology,4400000000,0,0,0,0,0
DICK'S SPORTING GOODS,Consumer Cyclical,5036000000,0,0,0,0,0
LANCASTER COLONY CORPORATION,Consumer Defensive,5060000000,0,0,0,0,0
AVNET,Technology,3470000000,0,0,0,0,0
ALLETE,Utilities,3219000000,0,0,0,0,0
STERLING BANCORP,Financial Services,3495000000,0,0,0,0,0
TRIPADVISOR,Consumer Cyclical,3872000000,0,0,0,0,0
TIMKEN COMPANY,Industries,5830000000,0,0,0,0,0
STAG INDUSTRIAL,Real Estate,4674000000,0,0,0,0,0
ECHOSTAR CORPORATION,Technology,2057999999,0,0,0,0,0
FTI CONSULTING,Industries,3984000000,0,0,0,0,0
PARSONS CORPORATION,Industries,3667000000,0,0,0,0,0
GLACIER BANCORP,Financial Services,4390000000,0,0,0,0,0
EQUITY COMMONWEALTH,Real Estate,3315000000,0,0,0,0,0
BRIDGEBIO PHARMA,Healthcare,8725000000,0,0,0,0,0
CORESITE REALTY CORPORATION,Real Estate,5358000000,0,0,0,0,0
EMPIRE STATE REALTY OP,Real Estate,2635000000,0,0,0,0,0
SOUTHWEST GAS HOLDINGS,Utilities,3452000000,0,0,0,0,0
OLLIE'S BARGAIN OUTLET HOLDINGS,Consumer Defensive,5349000000,0,0,0,0,0
LOGMEIN,Technology,4219999999,0,0,0,0,0
F.N.B. CORPORATION,Financial Services,3065000000,0,0,0,0,0
STIFEL FINANCIAL,Financial Services,5198000000,0,0,0,0,0
AFFILIATED MANAGERS GROUP,Financial Services,4613000000,0,0,0,0,0
WINTRUST FINANCIAL CORPORATION,Financial Services,3521000000,0,0,0,0,0
CVR ENERGY,Energy,1498000000,0,0,0,0,0
MURPHY OIL CORPORATION,Energy,1859000000,0,0,0,0,0
VALVOLINE,Energy,4280000000,0,0,0,0,0
CARGURUS,Communication Services,3593000000,0,0,0,0,0
FIVE9,Technology,11395000000,0,0,0,0,0
THOR INDUSTRIES,Consumer Cyclical,5149000000,0,0,0,0,0
UNIVAR SOLUTIONS,Basic Materials,3215000000,0,0,0,0,0
COHERENT,Technology,3666000000,0,0,0,0,0
LENDINGTREE,Financial Services,3594000000,0,0,0,0,0
PENSKE AUTOMOTIVE GROUP,Consumer Cyclical,4771000000,0,0,0,0,0
PNM RESOURCES,Utilities,4166000000,0,0,0,0,0
CINEMARK HOLDINGS,Communication Services,2057000000,0,0,0,0,0
NUVASIVE,Healthcare,2889000000,0,0,0,0,0
RH,Consumer Cyclical,9130000000,0,0,0,0,0
RLI Corp,Financial Services,4692000000,0,0,0,0,0
MEDALLIA,Technology,4998000000,0,0,0,0,0
BLUEPRINT MEDICINES CORPORATION,Healthcare,6250000000,0,0,0,0,0
GATES INDUSTRIAL CORPORATION,Industries,3710000000,0,0,0,0,0
NATIONAL FUEL GAS COMPANY,Energy,3741000000,0,0,0,0,0
WEINGARTEN REALTY INVESTORS,Real Estate,2777000000,0,0,0,0,0
FRONTDOOR,Consumer Cyclical,4290000000,0,0,0,0,0
PHILLIPS 66 PARTNERS LP,Energy,6030000000,0,0,0,0,0
ALCOA CORPORATION,Basic Materials,4285999999,0,0,0,0,0
SANDERSON FARMS,Consumer Defensive,2951000000,0,0,0,0,0
FOOT LOCKER,Retail,4214000000,0,0,0,0,0
TWO HARBORS INVESTMENT,Real Estate,1743000000,0,0,0,0,0
Q2 HOLDINGS,Technology,6818000000,402700000,-99800000,-137600000,0,0
UMPQUA HOLDINGS CORPORATION,Financial Services,3334000000,0,0,0,0,0
CLEARWAY ENERGY,Utilities,6152000000,0,0,0,0,0
TRINET GROUP,Industries,5371000000,0,0,0,0,0
SERVICE PROPERTIES TRUST,Real Estate,1894000000,0,0,0,0,0
NEW RELIC,Technology,4094000000,0,0,0,0,0
BLACKBAUD,Technology,2853000000,0,0,0,0,0
RBC BEARINGS,Industries,4494000000,0,0,0,0,0
BANK OZK,Financial Services,4043999999,0,0,0,0,0
INTERCEPT PHARMACEUTICALS,Healthcare,815000000,0,0,0,0,0
TENET HEALTHCARE CORPORATION,Healthcare,4213000000,0,0,0,0,0
SELECTIVE INSURANCE GROUP,Financial Services,4008000000,0,0,0,0,0
TEXAS ROADHOUSE,Consumer Cyclical,5431000000,0,0,0,0,0
LAUREATE EDUCATION,Consumer Defensive,3059000000,0,0,0,0,0
SCHNEIDER NATIONAL,Industries,3671000000,0,0,0,0,0
MERCURY SYSTEMS,Industries,4932000000,0,0,0,0,0
VIPER ENERGY PARTNERS LP,Energy,1843000000,0,0,0,0,0
UNITED BANKSHARES,Financial Services,4203999999,0,0,0,0,0
BLACK STONE MINERALS,Energy,1381000000,0,0,0,0,0
ICU MEDICAL,Healthcare,4500000000,0,0,0,0,0
HANCOCK WHITNEY CORPORATION,Financial Services,2940000000,0,0,0,0,0
AARON'S,Industries,640000000,0,0,0,0,0
MACERICH COMPANY,Real Estate,1595000000,0,0,0,0,0
TAUBMAN CENTERS,Real Estate,2654000000,0,0,0,0,0
CHIMERA INVESTMENT CORPORATION,Real Estate,2396000000,0,0,0,0,0
ORMAT TECHNOLOGIES,Utilities,5041000000,0,0,0,0,0
UNITED THERAPEUTICS CORPORATION,Healthcare,6746000000,1483000000,593600000,514799999,0,0
VERINT SYSTEMS,Technology,4416000000,0,0,0,0,0
FIRST HAWAIIAN,Financial Services,3063000000,0,0,0,0,0
OUTFRONT MEDIA,Real Estate,2825000000,0,0,0,0,0
APPFOLIO,Technology,6180000000,0,0,0,0,0
SIX FLAGS ENTERTAINMENT CORPORATION,Consumer Cyclical,2898000000,0,0,0,0,0
UNIFIRST CORPORATION,Industries,3995000000,0,0,0,0,0
DNP SELECT INCOME FUND,Financial Services,3160000000,0,0,0,0,0
BANK OF HAWAII CORPORATION,Financial Services,3069000000,0,0,0,0,0
ZARDOYA OTIS,Industries,3303000000,0,0,0,0,0
CRACKER BARREL OLD COUNTRY STORE,Consumer Cyclical,3129000000,0,0,0,0,0
EAGLE MATERIALS,Basic Materials,4238000000,0,0,0,0,0
NUVEEN AMT-FREE QUALITY MUNICIPAL INCOME FUND,Financial Services,4207000000,0,0,0,0,0
PBF ENERGY,Energy,853000000,0,0,0,0,0
SITEONE LANDSCAPE SUPPLY,Industries,7016000000,0,0,0,0,0
ASGN,Industries,4419000000,0,0,0,0,0
SLM CORPORATION,Financial Services,4649000000,0,0,0,0,0
FIBROGEN,Healthcare,3376000000,0,0,0,0,0
SAGE THERAPEUTICS,Healthcare,4502000000,0,0,0,0,0
PEBBLEBROOK HOTEL TRUST,Real Estate,2461000000,0,0,0,0,0
ENVESTNET,Technology,4440000000,0,0,0,0,0
NEVRO,Healthcare,5960000000,0,0,0,0,0
AXSOME THERAPEUTICS,Healthcare,3042000000,0,0,0,0,0
COMMUNITY BANK SYSTEM,Financial Services,3336000000,0,0,0,0,0
MACQUARIE INFRASTRUCTURE CORPORATION,Industries,3274000000,0,0,0,0,0
AEROJET ROCKETDYNE HOLDINGS,Industries,4042000000,0,0,0,0,0
FEDERAL NATIONAL MORTGAGE ASSOCIATION,Financial Services,2774000000,0,0,0,0,0
STEVEN MADDEN,Consumer Cyclical,2938000000,0,0,0,0,0
NEKTAR THERAPEUTICS,Healthcare,3050000000,0,0,0,0,0
FIREEYE,Technology,5408000000,0,0,0,0,0
TERRENO REALTY CORPORATION,Real Estate,4000000000,0,0,0,0,0
SWITCH,Technology,3939000000,0,0,0,0,0
NORTHWESTERN CORPORATION,Utilities,507000000,0,0,0,0,0
INGEVITY CORPORATION,Basic Materials,3126000000,0,0,0,0,0
ADAPTIVE BIOTECHNOLOGIES CORPORATION,Healthcare,8087000000,0,0,0,0,0
JOHN BEAN TECHNOLOGIES CORPORATION,Industries,3613000000,0,0,0,0,0
APPLE HOSPITALITY REIT,Real Estate,2882000000,0,0,0,0,0
SIMPSON MANUFACTURING,Industries,4058000000,0,0,0,0,0
ANTERO MIDSTREAM CORPORATION,Energy,3675000000,0,0,0,0,0
EXPONENT,Industries,4648000000,0,0,0,0,0
WHITE MOUNTAINS INSURANCE GROUP,Financial Services,3104000000,0,0,0,0,0
NATIONAL HEALTH INVESTORS,Real Estate,3094000000,0,0,0,0,0
CORNERSTONE ONDEMAND,Technology,2845000000,0,0,0,0,0
TEGNA,Communication Services,3058000000,0,0,0,0,0
SEMTECH CORPORATION,Technology,4686000000,0,0,0,0,0
CORELOGIC,Technology,6014000000,0,0,0,0,0
MURPHY USA,Consumer Cyclical,3739000000,0,0,0,0,0
REGAL BELOIT CORPORATION,Industries,4986000000,0,0,0,0,0
REXNORD CORPORATION,Industries,4750000000,0,0,0,0,0
AMTRUST FINANCIAL SERVICES,Financial Services,3015000000,0,0,0,0,0
STRATEGIC EDUCATION,Consumer Defensive,2326000000,0,0,0,0,0
ASSOCIATED BANC-CORP,Financial Services,2619000000,0,0,0,0,0
BANKUNITED,Financial Services,3213000000,0,0,0,0,0
COBANK ACB,Financial Services,3344000000,0,0,0,0,0
PHYSICIANS REALTY TRUST,Real Estate,3706000000,0,0,0,0,0
TANDEM DIABETES CARE,Healthcare,5951000000,0,0,0,0,0
VIAVI SOLUTIONS,Technology,3429000000,0,0,0,0,0
EQUITRANS MIDSTREAM CORPORATION,Energy,3477000000,0,0,0,0,0
LOUISIANA-PACIFIC CORPORATION,Industries,3837000000,0,0,0,0,0
PIMCO DYNAMIC CREDIT AND MORTGAGE INCOME FUND,Financial Services,3103000000,0,0,0,0,0
TOPBUILD,Industries,6079000000,0,0,0,0,0
PLAINS GROUP HOLDINGS,Energy,1587000000,0,0,0,0,0
WATTS WATER TECHNOLOGIES,Industries,4094000000,0,0,0,0,0
QURATE RETAIL,Consumer Cyclical,4574000000,0,0,0,0,0
FIRSTCASH,Financial Services,2902000000,0,0,0,0,0
INSPERITY,Industries,3123000000,0,0,0,0,0
INPHI CORPORATION,Technology,8362000000,0,0,0,0,0
MFA FINANCIAL,Real Estate,1754000000,0,0,0,0,0
SILGAN HOLDINGS,Consumer Cyclical,4101000000,0,0,0,0,0
J & J SNACK FOODS,Consumer Defensive,2945000000,0,0,0,0,0
GRAHAM HOLDINGS COMPANY,Consumer Defensive,2670000000,0,0,0,0,0
GRAFTECH INTERNATIONAL,Industries,2848000000,0,0,0,0,0
LITHIA MOTORS,Consumer Cyclical,7763000000,0,0,0,0,0
OMNICELL,Healthcare,5078000000,0,0,0,0,0
NEOGEN CORPORATION,Healthcare,4222000000,0,0,0,0,0
TARO PHARMACEUTICAL INDUSTRIES,Healthcare,2809000000,0,0,0,0,0
IOVANCE BIOTHERAPEUTICS,Healthcare,6806000000,0,0,0,0,0
NUVEEN AMT-FREE MUNICIPAL CREDIT INCOME FUND,Financial Services,3580000000,0,0,0,0,0
ITRON,Technology,3874000000,0,0,0,0,0
UMB FINANCIAL CORPORATION,Financial Services,3314000000,0,0,0,0,0
FEDERATED INVESTORS,Financial Services,2802000000,0,0,0,0,0
CAREDX,Healthcare,3569000000,0,0,0,0,0
BOYD GAMING CORPORATION,Consumer Cyclical,4787000000,0,0,0,0,0
ENERGIZER HOLDINGS,Industries,2891000000,0,0,0,0,0
QTS REALTY TRUST,Real Estate,3987000000,0,0,0,0,0
CLOUDERA,Technology,3988000000,0,0,0,0,0
CORPORATE OFFICE PROPERTIES TRUST,Real Estate,2926000000,0,0,0,0,0
RLJ LODGING TRUST,Real Estate,2335000000,0,0,0,0,0
LIVERAMP HOLDINGS,Technology,4853000000,0,0,0,0,0
BALCHEM CORPORATION,Basic Materials,3727000000,0,0,0,0,0
MAGNOLIA OIL & GAS CORPORATION,Energy,1774000000,0,0,0,0,0
BANCORPSOUTH BANK,Financial Services,2815000000,0,0,0,0,0
HOME BANCSHARES (CONWAY AR),Financial Services,329000000,0,0,0,0,0
SKYWEST,Industries,2021000000,0,0,0,0,0
HOULIHAN LOKEY,Financial Services,4661000000,0,0,0,0,0
IRIDIUM COMMUNICATIONS,Communication Services,5242000000,0,0,0,0,0
QUALYS,Technology,4755000000,0,0,0,0,0
AMERICAN NATIONAL INSURANCE COMPANY,Financial Services,2584000000,0,0,0,0,0
KENNEDY-WILSON HOLDINGS,Real Estate,2536000000,0,0,0,0,0
AMERICAN STATES WATER COMPANY,Utilities,2933000000,0,0,0,0,0
ALABAMA POWER COMPANY,Utilities,854000000,0,0,0,0,0
AVISTA CORPORATION,Utilities,2759000000,0,0,0,0,0
ENPHASE ENERGY,Technology,22168000000,774400000,186400000,133900000,0,0
AGIOS PHARMACEUTICALS,Healthcare,3001000000,0,0,0,0,0
NEXTERA ENERGY PARTNERS LP,Utilities,4895000000,0,0,0,0,0
SMILEDIRECTCLUB,Healthcare,4610000000,0,0,0,0,0
VALMONT INDUSTRIES,Industries,3718000000,0,0,0,0,0
MANTECH INTERNATIONAL CORPORATION,Technology,3589000000,0,0,0,0,0
BARNES GROUP,Industries,2566000000,0,0,0,0,0
AMKOR TECHNOLOGY,Technology,3656000000,0,0,0,0,0
MOOG,Industries,2690000000,0,0,0,0,0
ALLOGENE THERAPEUTICS,Healthcare,3541000000,0,0,0,0,0
COGENT COMMUNICATIONS HOLDINGS,Communication Services,2829000000,0,0,0,0,0
CONMED CORPORATION,Healthcare,3203000000,0,0,0,0,0
BROOKS AUTOMATION,Technology,5035000000,0,0,0,0,0
FS KKR CAPITAL,Financial Services,2049000000,0,0,0,0,0
ENERSYS,Industries,3536000000,0,0,0,0,0
LEGG MASON,Financial Services,692000000,0,0,0,0,0
CEDAR FAIR,Consumer Cyclical,2231000000,0,0,0,0,0
SELECT MEDICAL HOLDINGS CORPORATION,Healthcare,3625000000,0,0,0,0,0
UNITED STATES CELLULAR CORPORATION,Communication Services,2640000000,0,0,0,0,0
OLD NATIONAL BANCORP,Financial Services,2738000000,0,0,0,0,0
PARAMOUNT GROUP,Real Estate,1990000000,0,0,0,0,0
II-VI,Technology,7879000000,0,0,0,0,0
QUIDEL CORPORATION,Healthcare,7557000000,0,0,0,0,0
SPECTRUM BRANDS HOLDINGS,Consumer Defensive,3403000000,0,0,0,0,0
NOVANTA,Technology,4157000000,0,0,0,0,0
SOUTH JERSEY INDUSTRIES,Utilities,2168000000,0,0,0,0,0
SUNSTONE HOTEL INVESTORS,Real Estate,2443000000,0,0,0,0,0
BJ'S WHOLESALE CLUB HOLDINGS,Consumer Defensive,5118000000,0,0,0,0,0
HAMILTON LANE,Financial Services,4117000000,0,0,0,0,0
INTERNATIONAL GAME TECHNOLOGY,Consumer Cyclical,3470000000,0,0,0,0,0
TC PIPELINES LP,Energy,2156000000,0,0,0,0,0
KENNAMETAL,Industries,3018000000,0,0,0,0,0
VISHAY INTERTECHNOLOGY,Technology,2996000000,0,0,0,0,0
BRADY CORPORATION,Industries,2747000000,0,0,0,0,0
VIRTU FINANCIAL,Financial Services,4870000000,0,0,0,0,0
KB HOME,Consumer Cyclical,3280000000,0,0,0,0,0
SIMMONS FIRST NATIONAL CORPORATION,Financial Services,2350000000,0,0,0,0,0
TERADATA CORPORATION,Technology,2456000000,0,0,0,0,0
CATHAY GENERAL BANCORP,Financial Services,2564000000,0,0,0,0,0
NEOGENOMICS,Healthcare,5978000000,0,0,0,0,0
PENN NATIONAL GAMING,Consumer Cyclical,13415000000,3578000000,213000000,-669500000,0,0
CVB FINANCIAL,Financial Services,2642000000,0,0,0,0,0
YETI HOLDINGS,Consumer Cyclical,5963000000,0,0,0,0,0
NAVIENT CORPORATION,Financial Services,1829000000,0,0,0,0,0
HILTON GRAND VACATIONS,Consumer Cyclical,2668000000,0,0,0,0,0
TEXAS CAPITAL BANCSHARES,Financial Services,3002000000,0,0,0,0,0
ATLANTIC UNION BANKSHARES CORPORATION,Financial Services,2593000000,0,0,0,0,0
ENLINK MIDSTREAM LLC,Energy,2039000000,0,0,0,0,0
CHEMOURS COMPANY,Basic Materials,4077000000,0,0,0,0,0
COHEN & STEERS,Financial Services,3550000000,0,0,0,0,0
LEMONADE,Insurance,6932000000,2019000000,0,2019000000,414000000,596800000
GOODRX,Coupons / Vouchers / Gift Cards,15787000000,550700000,-275700000,-293600000,0,0
CANNAE HOLDINGS,Consumer Cyclical,4058000000,0,0,0,0,0
AMN HEALTHCARE SERVICES,Healthcare,3210000000,0,0,0,0,0
DECIPHERA PHARMACEUTICALS,Healthcare,3249000000,0,0,0,0,0
MEDPACE HOLDINGS,Healthcare,4979000000,0,0,0,0,0
SINCLAIR BROADCAST GROUP,Communication Services,2356000000,0,0,0,0,0
BUILDERS FIRSTSOURCE,Industries,4767000000,0,0,0,0,0
INVESTORS BANCORP,Financial Services,2639000000,0,0,0,0,0
POWER INTEGRATIONS,Technology,4900000000,0,0,0,0,0
NUVEEN QUALITY MUNICIPAL INCOME FUND,Financial Services,3253000000,0,0,0,0,0
ADVANCED DISPOSAL SERVICES,Industries,4600000000,0,0,0,0,0
EVERCORE,Financial Services,4455000000,0,0,0,0,0
QUAKER CHEMICAL CORPORATION,Basic Materials,4518000000,0,0,0,0,0
AMERIS BANCORP,Financial Services,2646000000,0,0,0,0,0
AGREE REALTY CORPORATION,Real Estate,3687000000,0,0,0,0,0
ALLIANCEBERNSTEIN HOLDING,Financial Services,3248000000,0,0,0,0,0
PTC THERAPEUTICS,Healthcare,4163999999,0,0,0,0,0
KODIAK SCIENCES,Healthcare,7459000000,0,0,0,0,0
SOUTH STATE CORPORATION,Financial Services,5130000000,0,0,0,0,0
CANTEL MEDICAL,Healthcare,3331000000,0,0,0,0,0
POTLATCHDELTIC CORPORATION,Real Estate,3345000000,0,0,0,0,0
UNIVERSAL FOREST PRODUCTS,Basic Materials,3399000000,0,0,0,0,0
COLUMBIA BANKING SYSTEM,Financial Services,2571000000,0,0,0,0,0
CROCS,Consumer Cyclical,4229000000,0,0,0,0,0
ELEMENT SOLUTIONS,Basic Materials,4383000000,0,0,0,0,0
BLACKLINE,Technology,7637000000,0,0,0,0,0
DIODES,Technology,3669000000,0,0,0,0,0
ACADIA HEALTHCARE COMPANY,Healthcare,4473000000,0,0,0,0,0
CENTRAL BANCOMPANY,Financial Services,2603000000,0,0,0,0,0
RYDER SYSTEM,Industries,3430000000,0,0,0,0,0
COLONY CAPITAL,Real Estate,2320000000,0,0,0,0,0
GATX CORPORATION,Industries,2911000000,0,0,0,0,0
TELEPHONE AND DATA SYSTEMS,Communication Services,1988000000,0,0,0,0,0
FULTON FINANCIAL CORPORATION,Financial Services,2064000000,0,0,0,0,0
KAR AUCTION SERVICES,Consumer Cyclical,2405000000,0,0,0,0,0
AVIENT CORPORATION,Basic Materials,3685000000,0,0,0,0,0
NUSTAR ENERGY,Energy,1573000000,0,0,0,0,0
CURALEAF HOLDINGS,Healthcare,7921000000,0,0,0,0,0
ALLEGIANT TRAVEL COMPANY,Industries,3102000000,0,0,0,0,0
RED ROCK RESORTS,Consumer Cyclical,2937000000,0,0,0,0,0
WORLD FUEL SERVICES CORPORATION,Energy,1979000000,0,0,0,0,0
INOVALON HOLDINGS,Healthcare,2824000000,0,0,0,0,0
ACACIA COMMUNICATIONS,Technology,3075000000,0,0,0,0,0
ARCSOFT CORPORATION,Technology,4345000000,0,0,0,0,0
INDEPENDENT BANK,Financial Services,2408000000,0,0,0,0,0
GROCERY OUTLET HOLDING,Consumer Defensive,3695000000,0,0,0,0,0
WASHINGTON FEDERAL,Financial Services,1952000000,0,0,0,0,0
EQT CORPORATION,Energy,3503000000,0,0,0,0,0
RETAIL PROPERTIES OF AMERICA,Real Estate,1834000000,0,0,0,0,0
NAVISTAR INTERNATIONAL CORPORATION,Industries,4378000000,0,0,0,0,0
RAPID7,Technology,4674000000,0,0,0,0,0
INTERNATIONAL BANCSHARES CORPORATION,Financial Services,2369000000,0,0,0,0,0
BIOHAVEN PHARMACEUTICAL HOLDING COMPANY,Healthcare,5137000000,0,0,0,0,0
SENSIENT TECHNOLOGIES CORPORATION,Basic Materials,3125000000,0,0,0,0,0
APOLLO COMMERCIAL REAL ESTATE FINANCE,Real Estate,1567000000,0,0,0,0,0
BRANDYWINE REALTY TRUST,Real Estate,2032000000,0,0,0,0,0
COMMSCOPE HOLDING COMPANY,Technology,2662000000,0,0,0,0,0
CABOT CORPORATION,Basic Materials,2540000000,0,0,0,0,0
ACCELERON PHARMA,Healthcare,7709000000,0,0,0,0,0
AUDENTES THERAPEUTICS,Healthcare,2750000000,0,0,0,0,0
PIEDMONT OFFICE REALTY TRUST,Real Estate,2045000000,0,0,0,0,0
CNO FINANCIAL GROUP,Financial Services,3090000000,0,0,0,0,0
NATIONAL GENERAL HOLDINGS,Financial Services,3879000000,0,0,0,0,0
SPIRIT AIRLINES,Industries,2388000000,0,0,0,0,0
EMERGENT BIOSOLUTIONS,Healthcare,4749000000,0,0,0,0,0
SITE CENTERS,Real Estate,1955000000,0,0,0,0,0
WOLVERINE WORLD WIDE,Consumer Cyclical,2565000000,0,0,0,0,0
LEXINGTON REALTY TRUST,Real Estate,2941000000,0,0,0,0,0
RATTLER MIDSTREAM LP,Energy,1439000000,0,0,0,0,0
OLIN CORPORATION,Basic Materials,3877000000,0,0,0,0,0
JOHN WILEY & SONS,Communication Services,2555000000,0,0,0,0,0
EXTENDED STAY AMERICA,Consumer Cyclical,2630000000,0,0,0,0,0
FOX FACTORY HOLDING,Consumer Cyclical,4410000000,0,0,0,0,0
MAIN STREET CAPITAL CORPORATION,Financial Services,2138000000,0,0,0,0,0
AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,Financial Services,2745000000,0,0,0,0,0
URBAN OUTFITTERS,Consumer Cyclical,2503000000,0,0,0,0,0
FIRST INTERSTATE BANCSYSTEM,Financial Services,2573000000,0,0,0,0,0
TRINITY INDUSTRIES,Industries,3013000000,0,0,0,0,0
MGE ENERGY,Utilities,2533000000,0,0,0,0,0
AMERICAN ASSETS TRUST,Real Estate,1741000000,0,0,0,0,0
PROTO LABS,Industries,4104000000,0,0,0,0,0
SIMPLY GOOD FOODS COMPANY,Consumer Defensive,2890000000,0,0,0,0,0
NATIONAL STORAGE AFFILIATES TRUST,Real Estate,2663000000,0,0,0,0,0
EIDOS THERAPEUTICS,Healthcare,5812000000,0,0,0,0,0
LCI INDUSTRIES,Consumer Cyclical,3262000000,0,0,0,0,0
TREEHOUSE FOODS,Consumer Defensive,2401000000,0,0,0,0,0
FLUOR CORPORATION,Industries,2247000000,0,0,0,0,0
PROS HOLDINGS,Technology,2205000000,0,0,0,0,0
OPTION CARE HEALTH,Healthcare,2921000000,0,0,0,0,0
SUMMIT MATERIALS,Basic Materials,2292000000,0,0,0,0,0
MERCURY GENERAL CORPORATION,Financial Services,2890000000,0,0,0,0,0
FRANKLIN ELECTRIC,Industries,3198000000,0,0,0,0,0
EATON VANCE TAX-MANAGED GLOBAL DIVERSIFIED EQUITY INCOME FUND,Financial Services,2656000000,0,0,0,0,0
DANA,Consumer Cyclical,2820000000,0,0,0,0,0
WD-40 COMPANY,Basic Materials,3630000000,0,0,0,0,0
HAIN CELESTIAL GROUP,Consumer Defensive,4041000000,0,0,0,0,0
CACTUS,Energy,1965000000,0,0,0,0,0
COMMERCIAL METALS COMPANY,Basic Materials,2466000000,0,0,0,0,0
ADVANCED DRAINAGE SYSTEMS,Industries,5890000000,0,0,0,0,0
INTEGER HOLDINGS CORPORATION,Healthcare,2669000000,0,0,0,0,0
EVERBRIDGE,Technology,5211000000,0,0,0,0,0
STITCH FIX,Consumer Cyclical,6157000000,0,0,0,0,0
H.B. FULLER COMPANY,Basic Materials,2684000000,0,0,0,0,0
APPIAN CORPORATION,Technology,11243000000,0,0,0,0,0
PENNYMAC FINANCIAL SERVICES,Financial Services,4754000000,0,0,0,0,0
LATTICE SEMICONDUCTOR CORPORATION,Technology,6318000000,0,0,0,0,0
MONRO,Consumer Cyclical,1775000000,0,0,0,0,0
AMEREN ILLINOIS COMPANY,Utilities,2571000000,0,0,0,0,0
ARTISAN PARTNERS ASSET MANAGEMENT,Financial Services,3955000000,0,0,0,0,0
HMS HOLDINGS,Healthcare,3255000000,0,0,0,0,0
BILL.COM HOLDINGS,Technology,11079000000,0,0,0,0,0
HALOZYME THERAPEUTICS,Healthcare,5774000000,0,0,0,0,0
WESCO INTERNATIONAL,Industries,3928000000,0,0,0,0,0
SEAWORLD ENTERTAINMENT,Consumer Cyclical,2476000000,0,0,0,0,0
ALTAIR ENGINEERING,Technology,4285000000,0,0,0,0,0
ALLEGHENY TECHNOLOGIES,Industries,2126999999,0,0,0,0,0
CHAMPIONX CORPORATION,Energy,3057000000,0,0,0,0,0
AAON,Industries,3481000000,0,0,0,0,0
APPLIED INDUSTRIAL TECHNOLOGIES,Industries,3023000000,0,0,0,0,0
FIRST FINANCIAL BANCORP,Financial Services,1695000000,0,0,0,0,0
NATIONAL VISION HOLDINGS,Consumer Cyclical,3669000000,0,0,0,0,0
NATERA,Healthcare,8496000000,0,0,0,0,0
BOX,Technology,2864000000,0,0,0,0,0
SERITAGE GROWTH PROPERTIES,Real Estate,1640000000,0,0,0,0,0
WESBANCO,Financial Services,2013999999,0,0,0,0,0
INNOSPEC,Basic Materials,2229000000,0,0,0,0,0
SUNOCO LP,Energy,2864000000,0,0,0,0,0
CHEMOCENTRYX,Healthcare,4285000000,0,0,0,0,0
WINGSTOP,Consumer Cyclical,3935000000,0,0,0,0,0
ABM INDUSTRIES,Industries,2526000000,0,0,0,0,0
NEW FORTRESS ENERGY LLC,Utilities,9337000000,0,0,0,0,0
FIRST MIDWEST BANCORP,Financial Services,1820000000,0,0,0,0,0
YELP,Communication Services,2417000000,0,0,0,0,0
